Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 60.24      1.03     1.03   451418     0.00     0.00  game::penguin::Board::getAvailableCells(game::penguin::PenguinPawn*)
  5.26      1.12     0.09   918678     0.00     0.00  void std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> >::_M_realloc_insert<game::penguin::BoardCell* const&>(__gnu_cxx::__normal_iterator<game::penguin::BoardCell**, std::vector<game::penguin::BoardCell*, std::allocator<game::penguin::BoardCell*> > >, game::penguin::BoardCell* const&)
  2.92      1.17     0.05   107555     0.00     0.01  game::penguin::Board::checkStatus()
  2.92      1.22     0.05    90712     0.00     0.00  std::__detail::_Map_base<game::Position const, std::pair<game::Position const, game::penguin::BoardCell*>, std::allocator<std::pair<game::Position const, game::penguin::BoardCell*> >, std::__detail::_Select1st, std::equal_to<game::Position const>, game::position_hash_function, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](game::Position const&&)
  1.75      1.25     0.03   415135     0.00     0.00  game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>* std::__uninitialized_copy_a<std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >(std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>, game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> >&)
  1.17      1.27     0.02  1200233     0.00     0.00  operator new(unsigned long, void*)
  1.17      1.29     0.02  1019055     0.00     0.00  bool std::operator!=<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*>(std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> const&, std::move_iterator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>*> const&)
  1.17      1.31     0.02   475383     0.00     0.00  std::back_insert_iterator<std::vector<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>, std::allocator<game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn> > > >::operator=(game::Move<game::penguin::BoardCell, game::penguin::PenguinPawn>&&)
  1.17      1.33     0.02   190891     0.00     0.00  mcts::MCTS<game::penguin::BoardCell, game::penguin::HumanPlayer, game::penguin::PenguinPawn>::formula(mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn> const&, mcts::Node<game::penguin::BoardCell, game::penguin::PenguinPawn> const&) const
  1.17      1.35     0.02    72216     0.00     0.00  game::penguin::Board::checkForCorrectness(game::Position const&, game::Position const&)
  1.17      1.37     0.02    50058     0.00     0.01  game::penguin::PenguinGame::getAvailableMoves(game::penguin::HumanPlayer*)
